country,iso_a3,value
Afghanistan,AFG,67.58466515
United Arab Emirates,ARE,202.332536
Armenia,ARM,119.714643
Azerbaijan,AZE,83.53588612
Bangladesh,BGD,30.98297141
Brunei Darussalam,BRN,136.8634343
Bhutan,BTN,81.56452985
China,CHN,36.10519237
Cyprus,CYP,193.2686192
Georgia,GEO,107.1511792
Indonesia,IDN,41.33628687
India,IND,44.99284229
Iran,IRN,52.18017585
Iraq,IRQ,69.4613208
Israel,ISR,57.99032071
Jordan,JOR,100.3478688
Japan,JPN,45.15087956
Kazakhstan,KAZ,61.96238433
Kyrgyzstan,KGZ,132.3734039
Cambodia,KHM,134.2068424
South Korea,KOR,87.93967919
Lebanon,LBN,104.2064101
Sri Lanka,LKA,43.5362303
Maldives,MDV,150.0323699
Mongolia,MNG,142.8642466
Malaysia,MYS,132.0643073
Nepal,NPL,41.57015029
Oman,OMN,105.9167078
Pakistan,PAK,28.6025774
Philippines,PHL,67.41996932
Saudi Arabia,SAU,54.16901183
Singapore,SGP,325.6932241
Thailand,THA,128.8241142
Tajikistan,TJK,65.63470104
Turkmenistan,TKM,34.0992738
Uzbekistan,UZB,66.1051443
Hong Kong,HKG,352.986
Russia,RUS,40.83432641
